;;INE PADRON;;;;;;AGENCIA TRIBUTARIA;
PROVINCIA;NOMBRE;POB19;HOMBRES;MUJERES;POB05;POB10;POB15;RENTA_BRUTA_MEDIA;RENTA_BRUTA_DISPONIBLE
Almería;Fines;2079;1093;986;2,032;2434;2143;18534;15841
Almería;Fiñana;1994;1002;992;2,442;2432;2134;13278;11953
Almería;Fondón;989;514;475;934;989;1020;0;0
Almería;Gádor;3012;1569;1443;2,933;3225;3027;17431;14924
Almería;Gallardos, Los;2794;1408;1386;0;0;2973;0;0
Almería;Garrucha;9212;4763;4449;7,037;8441;8577;18236;15507
Almería;Gérgal;1030;543;487;1,057;1099;1093;13691;12296
Almería;Huécija;480;233;247;539;543;515;0;0
Almería;Huércal de Almería;17651;8959;8692;11,128;15628;16823;0;0
Almería;Huércal-Overa;19127;9514;9613;16,156;18278;18530;1916;16094
Almería;Íllar;394;211;183;0;0;0;0;0
Almería;Instinción;448;233;215;524;485;458;0;0
Almería;Laroya;192;111;81;127;164;178;0;0
Almería;Láujar de Andarax;1536;766;770;1,836;1799;1574;0;0
Almería;Líjar;390;207;183;500;514;431;0;0
Almería;Lubrín;1477;736;741;1,670;1764;1568;13177;11789
Almería;Lucainena de las Torres;538;287;251;664;671;606;0;0
Almería;Lúcar;763;373;390;822;885;772;0;0
Almería;Macael;5482;2803;2679;6,091;6120;5676;20582;17072
Almería;María;1238;637;601;1,565;1455;1285;13077;11781
Almería;Mojácar;6403;3132;3271;6,092;7745;6825;20386;1715
Almería;Mojonera, La;9021;5075;3946;0;0;8963;0;0
Almería;Nacimiento;495;255;240;467;486;501;0;0
Almería;Níjar;30663;17075;13588;24,435;28242;28056;15654;13747
Almería;Ohanes;580;292;288;795;761;669;0;0
Almería;Olula de Castro;196;109;87;150;209;190;0;0
Almería;Olula del Río;6210;3182;3028;6,358;6733;6259;0;0
Almería;Oria;2249;1170;1079;2,488;2888;2428;13345;12024
Almería;Padules;410;208;202;504;502;464;0;0
Almería;Partaloa;1110;564;546;611;898;673;0;0
Almería;Paterna del Río;371;215;156;396;449;376;0;0
Almería;Pechina;4037;2043;1994;3,307;3720;3860;18047;15389
Almería;Pulpí;10055;5283;4772;7,600;8429;8762;17445;15113
Almería;Purchena;1618;851;767;1,645;1772;1686;17073;14636
Almería;Rágol;316;166;150;367;356;338;0;0
Almería;Rioja;1417;720;697;1,329;1361;1374;15725;13531
Almería;Roquetas de Mar;96800;50110;46690;65,886;85808;90623;0;0
Almería;Santa Cruz de Marchena;208;103;105;237;240;254;0;0
Almería;Santa Fe de Mondújar;452;234;218;437;489;448;0;0
Almería;Senés;295;156;139;319;338;330;0;0
Almería;Serón;2041;1044;997;2,429;2385;2167;17289;14954
Almería;Sierro;381;204;177;457;460;392;0;0
Almería;Somontín;446;228;218;515;525;492;0;0
Almería;Sorbas;2388;1254;1134;2,840;2905;2608;15384;13464
Almería;Suflí;204;109;95;260;262;252;0;0
Almería;Tabernas;3688;1898;1790;3,410;3626;3668;14111;12538
Almería;Taberno;925;450;475;1,085;1149;1000;13538;12084
Almería;Tahal;362;177;185;383;431;396;0;0
Almería;Terque;377;198;179;464;464;417;0;0
Almería;Tíjola;3541;1763;1778;3,820;3955;3701;20202;16861
Almería;Tres Villas, Las;568;307;261;0;0;615;0;0
Almería;Turre;3549;1819;1730;2,884;3791;3346;15716;13664
Almería;Turrillas;240;138;102;241;233;242;0;0
Almería;Uleila del Campo;833;418;415;988;1015;897;0;0
Almería;Urrácal;350;182;168;353;348;336;0;0
Almería;Velefique;242;133;109;261;295;268;0;0
Almería;Vélez-Blanco;1904;981;923;2,126;2282;2035;14516;12935
Almería;Vélez-Rubio;6555;3207;3348;7,037;7138;6767;16452;14211
Almería;Vera;16452;8396;8056;10,439;14371;15108;20672;17294
Almería;Viator;5885;3004;2881;3,950;5043;5698;17914;15305
Almería;Vícar;26028;14017;12011;19,830;23410;24571;15785;13809
Almería;Zurgena;3005;1490;1515;2,288;3060;3030;15196;13339
Araba/Álava;Agurain/Salvatierra;5062;2526;2536;0;0;0;0;0
Araba/Álava;Alegría-Dulantzi;2876;1501;1375;2,048;2714;2882;0;0
Araba/Álava;Amurrio;10350;5100;5250;9,592;10050;10263;0;0
Araba/Álava;Añana;156;95;61;185;175;157;0;0
Araba/Álava;Aramaio;1467;764;703;1,503;1497;1518;0;0
Araba/Álava;Armiñón;227;119;108;175;225;244;0;0
Araba/Álava;Arraia-Maeztu;726;403;323;734;708;712;0;0
Araba/Álava;Arratzua-Ubarrundia;980;529;451;0;0;997;0;0
Araba/Álava;Artziniega;1821;906;915;1,499;1818;1829;0;0
Araba/Álava;Asparrena;1614;826;788;1,606;1680;1647;0;0
Araba/Álava;Ayala/Aiara;2974;1500;1474;2,542;2827;2927;0;0
Araba/Álava;Baños de Ebro/Mañueta;291;163;128;344;329;311;0;0
Araba/Álava;Barrundia;883;491;392;779;910;905;0;0
Araba/Álava;Berantevilla;453;243;210;458;499;467;0;0
Araba/Álava;Bernedo;494;299;195;566;575;526;0;0
Araba/Álava;Campezo/Kanpezu;1040;546;494;1,083;1126;1069;0;0
Araba/Álava;Elburgo/Burgelu;599;320;279;475;589;608;0;0
Araba/Álava;Elciego;1005;502;503;941;1051;1051;0;0
Araba/Álava;Elvillar/Bilar;333;162;171;366;367;353;0;0
Araba/Álava;Erriberabeitia;1350;724;626;0;0;0;0;0
Araba/Álava;Erriberagoitia/Ribera Alta;785;453;332;0;750;773;0;0
Araba/Álava;Harana/Valle de Arana;221;124;97;338;296;242;0;0
Araba/Álava;Iruña Oka/Iruña de Oca;3411;1769;1642;2,252;2973;3172;0;0
Araba/Álava;Iruraiz-Gauna;517;281;236;478;511;509;0;0
Araba/Álava;Kripan;180;94;86;193;195;182;0;0
Araba/Álava;Kuartango;376;220;156;356;355;362;0;0
Araba/Álava;Labastida/Bastida;1452;751;701;0;1471;1471;0;0
Araba/Álava;Lagrán;157;87;70;192;178;163;0;0
Araba/Álava;Laguardia;1494;767;727;1,483;1512;1520;0;0
Araba/Álava;Lanciego/Lantziego;691;367;324;660;696;679;0;0
Araba/Álava;Lantarón;875;494;381;966;957;893;0;0
Araba/Álava;Lapuebla de Labarca;865;439;426;854;866;860;0;0
Araba/Álava;Laudio/Llodio;18102;8868;9234;0;18420;18300;0;0
Araba/Álava;Legutio;1885;995;890;0;0;1716;0;0
Araba/Álava;Leza;203;100;103;230;236;216;0;0
Araba/Álava;Moreda de Álava/Moreda Araba;221;108;113;0;0;233;0;0
Araba/Álava;Navaridas;200;112;88;210;211;231;0;0
